Unnamed: 0.1,Unnamed: 0,French,English
0,1,chercher,search
1,2,seulement,only
4,5,aide,help
5,6,genre,kind
6,7,mois,month
7,8,frère,brother
8,9,laisser,let
9,10,car,because
10,11,mettre,to put
11,12,aucun,no
12,13,laisse,leash
13,14,eux,them
17,19,bébé,baby
18,20,longtemps,long time
19,21,heures,hours
20,22,aucune,any
21,23,place,square
23,25,compris,understood
24,26,savais,knew
25,27,pourrais,could
26,28,affaire,case
28,30,type,type
30,32,donné,given
31,34,corps,body
32,35,endroit,place
34,37,trouve,find
35,38,premier,first
36,39,perdu,lost
37,40,main,hand
38,41,première,first
39,43,vieux,old
40,44,sois,be
44,49,point,point
47,52,pardon,sorry
48,53,venez,come
51,56,minutes,minutes
53,59,mis,placed
55,61,droit,law
56,62,aimerais,would like to
58,64,mari,husband
60,66,enfin,finally
62,68,attendez,Wait
63,69,nouvelle,new
64,70,boulot,job
65,71,arrêter,Stop
66,72,dirait,would say
67,73,compte,account
68,74,donne,given
69,75,loin,far
70,76,croire,believe
71,77,chérie,sweetheart
75,81,filles,girls
76,82,jouer,to play
